cell,corner,vdd_V,temp_C,input,output,before,after,output_edge,delay_ps,slew_20_80_ps,ideal_wire
rev_cnot,ss,1.8,27,B,B_OUT,11,10,rise,274.0051,359.4857,False
rev_cnot,ss,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,00,10,rise,226.2285,372.8059,False
rev_cnot,ss,1.62,125,B,B_OUT,00,01,rise,74.4654,180.7988,False
rev_cnot,ss,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,01,11,fall,107.2095,113.0137,False
rev_cnot,ss,1.62,125,B,B_OUT,01,00,fall,67.3718,76.3632,False
rev_cnot,ss,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,10,00,fall,155.3688,95.9913,False
rev_cnot,ss,1.62,125,B,B_OUT,10,11,fall,148.0193,119.306,False
rev_cnot,ss,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,11,01,rise,148.1143,168.7293,False
rev_cnot,ss,1.62,125,B,B_OUT,11,10,rise,294.8149,392.3502,False
rev_cnot,ss,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,00,10,rise,171.7918,298.5422,False
rev_cnot,ss,1.98,-40,B,B_OUT,00,01,rise,53.0541,155.8779,False
rev_cnot,ss,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,01,11,fall,63.725,52.9904,False
rev_cnot,ss,1.98,-40,B,B_OUT,01,00,fall,50.0802,49.8892,False
rev_cnot,ss,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,10,00,fall,123.0162,58.8739,False
rev_cnot,ss,1.98,-40,B,B_OUT,10,11,fall,87.871,54.805,False
rev_cnot,ss,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,11,01,rise,131.5463,142.5902,False
rev_cnot,ss,1.98,-40,B,B_OUT,11,10,rise,241.8469,317.1326,False
